n,X,H,C_centered,E_centered,identity_err
3304,10923024,119.0,147.40689833569922,14.203449167819826,5.95719029661268e-11
3305,10929635,64.0,177.3975916554482,56.6987958277291,1.000444171950221e-11
3306,10936248,44.0,228.94654459424783,92.47327229719258,1.3733369996771216e-10
3307,10942863,-76.0,250.58823038992705,163.29411519498808,4.9112713895738125e-11
3308,10949480,-123.0,251.97934162121965,187.48967081072215,2.2464519133791327e-10
3309,10956099,-140.0,231.41674671253713,185.70837335643455,3.319655661471188e-10
3310,10962720,-144.0,243.13384730793769,193.5669236539402,5.729816621169448e-11
3311,10969343,-58.0,206.53399093182816,132.26699546589043,4.729372449219227e-11
3312,10975968,-8.0,185.3752371087612,96.68761855446269,1.6416379367001355e-10
3313,10982595,-139.0,271.9244671972265,205.46223359871328,2.000888343900442e-10
3314,10989224,-65.0,185.8125836734689,125.40629183696024,4.5156411943025887e-10
3315,10995855,-130.0,300.1014839272684,215.05074196370788,1.4733814168721437e-10
3316,11002488,-160.0,356.22563472477486,258.1128173624436,1.1232259566895664e-10
3317,11009123,-116.0,303.1955156614422,209.5977578307661,9.00399754755199e-11
3318,11015760,-26.0,148.3971637281502,87.19858186410988,6.957634468562901e-11
3319,11022399,-25.0,118.16246118271374,71.58123059137574,3.774403012357652e-11
3320,11029040,-63.0,128.11386609909823,95.55693304973465,3.710738383233547e-10
3321,11035683,12.0,74.4693435155059,31.234671757835713,1.6552803572267294e-10
3322,11042328,-64.0,101.51935331228015,82.75967665625535,2.305569068994373e-10
3323,11048975,-112.0,149.68261679750867,130.84130839880436,1.000444171950221e-10
3324,11055624,-76.0,116.58762112472323,96.29381056238094,3.865352482534945e-11
3325,11062275,-206.0,148.22546325996518,177.11273163002375,8.230927051045e-11
3326,11068928,-132.0,214.10556935271597,173.05278467637322,3.0468072509393096e-11
3327,11075583,-169.0,251.3939313646115,210.19696568229847,1.4551915228366852e-11
3328,11082240,-215.0,232.3597019759327,223.6798509880498,1.6689227777533233e-10
3329,11088899,-254.0,213.718740299606,233.85937014976298,8.003553375601768e-11
3330,11095560,-303.0,252.70985572296195,277.8549278615069,5.184119800105691e-11
3331,11102223,-307.0,317.2102119830961,312.10510599165104,2.0600054995156825e-10
3332,11108888,-365.0,302.3869312967727,333.6934656484748,1.7689671949483454e-10
3333,11115555,-451.0,340.25196765230794,395.62598382616056,1.318767317570746e-11
3334,11122224,-461.0,333.3669544560107,397.1834772279951,2.0463630789890885e-11
3335,11128895,-433.0,240.79537675890606,336.89768837948486,6.366462912410498e-11
3336,11135568,-343.0,226.3275937911385,284.6637968956179,9.731593308970332e-11
3337,11142243,-258.0,222.88192040628928,240.4409602032813,2.7330315788276494e-10
3338,11148920,-305.0,302.1527079512598,303.5763539757145,1.6916601452976465e-10
3339,11155599,-402.0,148.84787807631074,275.42393903818584,6.093614501878619e-11
3340,11162280,-453.0,148.19116588048928,300.59558294033945,1.8962964531965554e-10
3341,11168963,-423.0,111.01840481726686,267.0092024087585,2.5011104298755527e-10
3342,11175648,-427.0,166.87637013095082,296.9381850655609,1.709850039333105e-10
3343,11182335,-404.0,285.44599087127426,344.7229954356658,5.729816621169448e-11
3344,11189024,-376.0,253.4468333832774,314.7234166917749,2.72393663180992e-10
3345,11195715,-276.0,311.6467967323697,293.82339836626124,1.5279510989785194e-10
3346,11202408,-377.0,302.4553544466762,339.72767722337835,8.049028110690415e-11
3347,11209103,-301.0,272.5888410944899,286.7944205473282,1.6643753042444587e-10
3348,11215800,-319.0,244.99657574783487,281.9982878739138,7.275957614183426e-12
3349,11222499,-324.0,204.73684765545477,264.3684238278088,1.6279955161735415e-10
3350,11229200,-288.0,105.72502552990045,196.86251276500434,1.0822986951097846e-10
3351,11235903,-221.0,-4.5775173911388265,108.21124130445219,4.320099833421409e-11
3352,11242608,-301.0,24.502058968806523,162.75102948448125,1.559783413540572e-10
3353,11249315,-343.0,94.401449817713,218.7007249089413,1.6962076188065112e-10
3354,11256024,-319.0,150.54871669752174,234.7743583489255,3.292370820418e-10
3355,11262735,-263.0,127.30891862179851,195.15445931099043,1.823536877054721e-10
3356,11269448,-327.0,195.67663687712047,261.338318438575,2.955857780762017e-11
3357,11276163,-358.0,249.60355095393606,303.8017754769746,1.318767317570746e-11
3358,11282880,-308.0,266.5904132611031,287.29520663069525,2.874003257602453e-10
3359,11289599,-420.0,243.80336391201126,331.90168195603883,6.639311322942376e-11
3360,11296320,-499.0,276.6471736374806,387.8235868188733,2.660272002685815e-10
3361,11303043,-390.0,148.13579971538275,269.06789985777664,1.7053025658242404e-10
3362,11309768,-407.0,238.75364942691522,322.87682471354424,1.7325874068774283e-10
3363,11316495,-488.0,284.3098784179747,386.1549392089971,1.9554136088117957e-11
3364,11323224,-457.0,272.97851152782096,364.98925576392844,3.5925040720030665e-11
3365,11329955,-513.0,346.7853819199081,429.8926909600418,1.7553247744217515e-10
3366,11336688,-457.0,368.76667730619374,412.8833386532028,2.1191226551309228e-10
3367,11343423,-414.0,304.5847297376895,359.2923648689232,1.5688783605583012e-10
3368,11350160,-495.0,311.30307852815895,403.1515392641568,1.546140993013978e-10
3369,11356899,-447.0,330.19042255527165,388.5952112775674,1.368789526168257e-10
3370,11363640,-461.0,303.3150979286438,382.15754896427484,9.413270163349807e-11
3371,11370383,-474.0,205.69891134748468,339.84945567379987,1.1505107977427542e-10
3372,11377128,-456.0,229.15356879624596,342.5767843981366,2.7284841053187847e-11
3373,11383875,-388.0,209.19895589444786,298.59947794720074,4.638422979041934e-11
3374,11390624,-312.0,192.7874194651813,252.39370973264272,1.0413714335300028e-10
3375,11397375,-248.0,206.92948864444043,227.46474432229707,1.5370460459962487e-10
3376,11404128,-245.0,175.03247138154984,210.01623569075628,3.728928277269006e-11
