r,abs_b,re_b,im_b
254,8.264701134822e-03,7.845691238775e-03,-2.598155852473e-03
255,4.520899359771e-02,-4.512322753671e-02,2.783422136218e-03
256,4.421486369087e-03,3.487697915774e-03,-2.717628554518e-03
257,4.607123288111e-03,3.424959315943e-03,-3.081434515933e-03
258,1.288569778739e-02,-1.222904421683e-02,-4.060995568900e-03
259,4.858645085177e-03,3.155988199978e-03,-3.694072352473e-03
260,1.416468650536e-02,1.396308610869e-02,-2.381295890140e-03
261,4.759789988007e-03,-5.422155962804e-04,-4.728805660744e-03
262,7.503639005283e-03,6.799461744033e-03,-3.173628572002e-03
263,4.806368398087e-03,2.211226464956e-03,-4.267511534701e-03
264,8.484472165485e-03,8.231610955339e-03,-2.055930204755e-03
265,1.196447436390e-02,1.196447423238e-02,1.773989376241e-06
266,5.841266374718e-03,5.434967949824e-03,-2.140447673923e-03
267,7.100705428256e-03,7.066668307607e-03,-6.944181802963e-04
268,3.624833753183e-03,9.456758010259e-04,-3.499302361552e-03
269,3.250747917779e-03,7.693403291016e-04,-3.158397929800e-03
270,1.200284321464e-01,-9.554652153472e-02,-7.264768920020e-02
271,2.395836678864e-03,5.534034582663e-04,-2.331046546976e-03
272,1.932559363324e-03,5.244320556966e-04,-1.860042126332e-03
273,6.258249362317e-03,5.316228130648e-03,3.302030215465e-03
274,4.385054535005e-03,3.661038788795e-03,2.413606898794e-03
275,1.642799263065e-02,-9.923537716372e-03,-1.309207168726e-02
276,7.456435332582e-03,5.027606610912e-03,5.506505210647e-03
277,1.445187962098e-03,1.260904350706e-03,7.061787763469e-04
278,6.330562590030e-03,3.906418902606e-03,4.981557393392e-03
279,1.307028223771e-03,3.359821294904e-04,-1.263106799284e-03
280,1.406439941251e-02,7.218034670729e-03,1.207092814686e-02
281,3.723016189903e-03,2.786453078458e-03,2.469114981493e-03
282,1.197118764989e-02,-2.171005023846e-03,-1.177268325130e-02
283,4.848970190004e-03,3.732704928488e-03,3.095064752212e-03
284,5.377041790229e-03,4.221616065855e-03,3.330245667572e-03
285,4.464324119488e-02,-5.456061360690e-03,-4.430858132250e-02
286,9.959767669847e-03,5.894578026883e-03,8.028133153001e-03
287,6.754912953676e-03,5.638970427101e-03,3.718986627297e-03
288,5.870814136373e-03,5.855554029152e-03,4.230196632726e-04
289,7.458125825611e-03,6.453802548094e-03,3.737923688476e-03
290,2.636447236240e-02,7.807096520918e-03,-2.518203023707e-02
291,1.216005117709e-02,6.536436892187e-03,1.025386938594e-02
292,8.131711711831e-03,7.335416224519e-03,3.509473490053e-03
293,8.249582764062e-03,7.519030268400e-03,3.394083028446e-03
294,1.631789783592e-02,1.119543861804e-02,-1.187164453365e-02
295,1.459429933736e-02,4.645273032556e-03,1.383528140666e-02
296,8.294133632707e-03,7.713922891631e-03,3.047629626312e-03
297,8.892047993398e-03,8.890960301334e-03,-1.390770901331e-04
298,9.002669504434e-03,5.725633198884e-03,6.947314781835e-03
299,7.949816184147e-03,7.412362284145e-03,2.873406119976e-03
