k,n,X,Mplus,Msm,B,E,C,C_minus_2E,R,absR_over_sqrtx,rhoA,rhoB,float_resid
6,368,136160,-2145,-1081,-1090.9156497537251,26.915649753725944,36.83129950745024,-17.00000000000165,9.91564975372512,0.0268717782260585,0.9353871109441098,0.9685720979668289,8.242295734817162e-13
6,381,145923,-2367,-1205,-1199.912740189373,37.91274018937082,32.82548037874585,-42.999999999995794,-5.087259810627074,0.013317479690871933,0.9244929688616066,0.9626980626224823,2.1032064978498966e-12
6,394,156024,-2457,-1262,-1277.2096306542333,82.2096306542334,97.4192613084665,-67.00000000000028,15.209630654233251,0.03850551745689288,0.9235049610001296,0.9627776313302299,1.4210854715202004e-13
6,407,166463,-2585,-1275,-1323.623624451362,13.623624451362275,62.247248902724095,34.999999999999545,48.62362445136205,0.11917590808943225,0.9249130155623726,0.9636623782576828,2.2737367544323206e-13
6,420,177240,-2722,-1336,-1399.2641489796647,13.264148979664924,76.5282979593294,49.999999999999545,63.2641489796647,0.15027156163825323,0.9286342717275308,0.9652989159130724,2.2737367544323206e-13
6,433,188355,-2894,-1424,-1478.9146766475033,8.914676647503114,63.82935329500651,46.000000000000284,54.914676647503256,0.1265318488979636,0.9281373278889686,0.9653091080315541,1.4210854715202004e-13
6,446,199808,-3088,-1544,-1567.2374361810002,23.237436180999538,46.4748723620005,1.4210854715202004e-12,23.23743618100025,0.05198544592917535,0.9351687198648903,0.9690740896849807,7.105427357601002e-13
6,459,211599,-3292,-1676,-1681.2655386195318,65.26553861953201,70.5310772390635,-60.00000000000051,5.265538619531753,0.011446850134293175,0.9285255618091328,0.9661410945748093,2.5579538487363607e-13
6,472,223728,-3470,-1778,-1778.984230380634,86.98423038063498,87.96846076126803,-86.00000000000193,0.9842303806340169,0.0020808299793770245,0.9248385227740163,0.9637722753725958,9.663381206337363e-13
6,485,236195,-3657,-1851,-1876.8853928873864,70.88539288738673,96.77078577477278,-45.00000000000068,25.885392887386388,0.05326223803289213,0.9223692810478137,0.963305934417144,3.410605131648481e-13
6,498,249000,-3803,-1911,-1947.9405488393897,55.94054883939097,92.8810976787795,-19.000000000002444,36.94054883938975,0.07402930464353544,0.9268570253951854,0.9654904345646107,1.2221335055073723e-12
6,511,262143,-3998,-1987,-2028.8388092625476,17.838809262548352,59.67761852509511,23.99999999999841,41.83880926254756,0.08171658020306936,0.9341792362012658,0.9692691578247015,7.958078640513122e-13
6,524,275624,-4190,-2092,-2123.5052331603274,25.50523316032229,57.010466320654814,6.000000000010232,31.505233160327407,0.0600100767863492,0.9316740937876247,0.9676202735530662,5.115907697472721e-12
6,537,289443,-4358,-2126,-2211.345083539237,-20.65491646076495,64.69016707847368,106.00000000000358,85.34508353923684,0.1586342583066399,0.9324259147023901,0.9683348071640725,1.7905676941154525e-12
6,550,303600,-4571,-2200,-2298.6350995725547,-72.3649004274441,26.270199145109473,170.99999999999767,98.63509957255474,0.17901136481840896,0.932889910031278,0.9686546472175884,1.1652900866465643e-12
6,563,318095,-4775,-2345,-2409.358896804042,-20.641103195958465,43.71779360808432,85.00000000000125,64.35889680404216,0.11411169852300528,0.9359611734348341,0.9705461745777413,6.252776074688882e-13
6,576,332928,-4959,-2531,-2529.1080363426036,101.10803634260068,99.21607268520711,-102.99999999999426,-1.8919636573964453,0.0032789714017243342,0.9280300645951587,0.9665692899105416,2.8705926524708048e-12
6,589,348099,-5126,-2676,-2650.6882595853313,200.68825958533748,175.3765191706625,-226.00000000001245,-25.311740414668748,0.04290131656227592,0.9240368653980944,0.9638806967484232,6.224354365258478e-12
6,602,363608,-5416,-2772,-2767.612105002287,123.61210500229086,119.22421000457416,-128.00000000000756,-4.38789499771292,0.00727678446357385,0.9235213999343135,0.9650546301898307,3.780087354243733e-12
6,615,379455,-5693,-2833,-2879.0683766863312,19.068376686332783,65.1367533726625,26.99999999999693,46.06837668633125,0.07478642433382751,0.9272051575468476,0.9665766332364316,1.5347723092418164e-12
6,628,395640,-5794,-2919,-2974.954122247581,99.95412224758641,155.90824449516185,-44.00000000001097,55.954122247580926,0.08895738149597048,0.9279237965996999,0.967352490346809,5.4853899200679734e-12
6,641,412163,-6032,-2960,-3051.6896063536065,-20.31039364639176,71.3792127072129,111.99999999999642,91.68960635360645,0.14281887474038496,0.9316412465767709,0.9702426819631762,1.7905676941154525e-12
6,654,429024,-6191,-3052,-3129.8644445885616,-9.135555411436712,68.72888917712316,86.99999999999659,77.86444458856158,0.11887715318249302,0.92421136747161,0.9661191453423155,1.7053025658242404e-12
6,667,446223,-6347,-3182,-3234.008250584173,69.00825058417283,121.01650116834571,-16.999999999999943,52.008250584172856,0.07785674979074225,0.9268230101124243,0.9670543561917039,2.842170943040401e-14
6,680,463760,-6760,-3272,-3348.888096625203,-139.11190337479957,-62.22380674959368,216.00000000000546,76.88809662520316,0.11290481574388889,0.9254742573568786,0.9667950224494315,2.7284841053187847e-12
6,693,481635,-6865,-3429,-3493.47608100478,57.47608100478567,121.9521620095602,6.999999999988859,64.4760810047801,0.09290511230451555,0.9266768158735955,0.9675022124972635,5.5706550483591855e-12
6,706,499848,-7204,-3608,-3640.479322201979,44.47932220198055,76.9586444039578,-12.000000000003297,32.4793222019789,0.045939681317060214,0.9260154879234208,0.9681297448717898,1.6484591469634324e-12
6,713,509795,-7269,-3667,-3709.3247258394026,107.3247258394045,149.64945167880524,-65.00000000000375,42.32472583940262,0.05927838564551473,0.9204634952769154,0.9651890292027949,1.8758328224066645e-12
7,714,511224,-5969,-2984,-3007.821273516827,22.821273516827034,46.64254703365441,1.000000000000341,23.821273516827205,0.03331649904208347,0.9651434281645893,0.9829724590702854,1.7053025658242404e-13
7,774,600624,-7124,-3681,-3612.5367423537036,169.53674235370625,101.07348470740726,-238.00000000000523,-68.46325764629637,0.08833976082543764,0.9657463049542782,0.9832498672181392,2.6147972675971687e-12
7,834,697224,-8408,-4101,-4241.000951947946,-65.99904805205301,74.00190389589261,205.99999999999864,140.0009519479463,0.16766593095418367,0.9682258022531726,0.9846579777909309,6.821210263296962e-13
7,894,801024,-9368,-4708,-4762.11947496664,102.11947496664584,156.2389499332803,-48.00000000001137,54.119474966640155,0.060468724858168975,0.9706956165724132,0.9854104190213143,5.6843418860808015e-12
7,954,912024,-10825,-5525,-5492.601094757704,192.60109475771463,160.20218951540846,-225.0000000000208,-32.39890524229577,0.03392557382657715,0.964977686783469,0.9827814050197907,1.0402345651527867e-11
7,1014,1030224,-12367,-6166,-6248.876165363752,47.87616536374588,130.75233072750416,35.00000000001239,82.87616536375208,0.08165143407501789,0.9701410432878541,0.9854039844908548,6.195932655828074e-12
7,1074,1155624,-13680,-6789,-6839.525712049612,-51.47428795039508,-0.9485759007766319,102.00000000001353,50.525712049611684,0.047000682707347974,0.9688720225228192,0.98478007760775,6.764366844436154e-12
7,1134,1288224,-14791,-7499,-7531.256915470156,239.2569154701651,271.5138309403119,-207.0000000000183,32.256915470155946,0.028420200872308943,0.9708367523816619,0.9858255609187735,9.15179043659009e-12
7,1194,1428024,-16545,-8250,-8352.65910130501,57.65910130500953,160.3182026100185,44.99999999999943,102.65910130500924,0.08590722782381785,0.9680946868791495,0.984458213886347,2.8421709430404007e-13
7,1254,1575024,-18392,-9208,-9275.562253761676,91.56225376168834,159.1245075233528,-24.000000000023874,67.5622537616764,0.05383448223878941,0.9687272804026077,0.9849643536337431,1.1937117960769683e-11
7,1314,1729224,-20020,-9887,-10060.980992818972,-72.01900718103002,101.96198563794314,246.00000000000318,173.98099281897157,0.1323049757604968,0.9732208304478897,0.9870114861732068,1.5916157281026244e-12
7,1374,1890624,-21124,-10537,-10663.795415198627,76.79541519860345,203.59083039725374,50.00000000004684,126.79541519862687,0.09221487180459052,0.9686564862675311,0.9850684777387235,2.3419488570652902e-11
7,1434,2059224,-22950,-11590,-11582.281574658491,222.28157465850097,214.56314931698216,-230.00000000001978,-7.718425341508919,0.00537869492377622,0.9669155801485848,0.9840889304441445,9.890754881780595e-12
7,1494,2235024,-25111,-12625,-12677.336016857875,191.33601685787443,243.67203371574942,-138.99999999999943,52.33601685787471,0.035007376967243375,0.9661680693282336,0.9839914894517474,2.8421709430404007e-13
7,1554,2418024,-27102,-13419,-13624.590867833711,-58.4091321663081,147.1817356674219,264.0000000000381,205.59086783371094,0.132212804080946,0.9697684941990359,0.9857545495399787,1.9042545318370685e-11
7,1614,2608224,-28942,-14366,-14529.300171100907,-46.699828899081865,116.60034220181478,209.9999999999785,163.3001711009074,0.10111467641223762,0.9677381367692091,0.9849203405101203,1.0743406164692715e-11
7,1674,2805624,-30877,-15325,-15470.363335984906,-81.63666401510096,63.72667196981274,227.00000000001467,145.36333598490637,0.08678409665110996,0.9699436080347991,0.9858156544805589,7.332801033044234e-12
7,1734,3010224,-32486,-16155,-16353.896829045774,22.896829045759773,221.79365809154842,176.00000000002888,198.8968290457742,0.11463796085455522,0.9684020483728851,0.9851741721584081,1.4438228390645236e-11
7,1794,3222024,-34184,-17391,-17309.523188839223,516.5231888392693,435.0463776784454,-598.0000000000932,-81.47681116077729,0.045390988191926225,0.9665809896621893,0.9841902948574142,4.661160346586257e-11
7,1854,3441024,-36585,-18521,-18492.42874598898,428.428745988975,399.85749197795667,-456.9999999999933,-28.571254011021665,0.015402295505436172,0.9690854163627494,0.9855135230506623,3.353761712787673e-12
7,1914,3667224,-39411,-19623,-19746.813425622695,-41.18657437728058,82.62685124538984,164.999999999951,123.81342562269492,0.06465453916646308,0.9670445791023813,0.9848768732729999,2.4499513529008254e-11
7,1974,3900624,-41606,-20721,-20888.884494410897,3.884494410932632,171.76898882179376,163.9999999999285,167.88449441089688,0.08500481819296477,0.9679657476508426,0.9851956338703677,3.575451046344824e-11
7,2034,4141224,-43944,-21795,-21983.159917643487,-165.8400823564666,22.319835286973102,353.9999999999063,188.15991764348655,0.0924618871554773,0.9699088217498161,0.986042032568975,4.6838977141305804e-11
7,2094,4389024,-45952,-22675,-22966.10519964134,-310.8948003586748,-19.789600717318535,602.000000000031,291.10519964134073,0.13895237842682648,0.9700254228285823,0.9863790170258687,1.5575096767861396e-11
7,2154,4644024,-47720,-23797,-23962.051274783473,39.05127478346287,204.10254956694553,126.00000000001978,165.05127478347276,0.07658992693909902,0.9698546536083579,0.9863880540518787,9.890754881780595e-12
7,2214,4906224,-49857,-25101,-25139.292114715223,383.2921147151663,421.5842294304457,-344.9999999998869,38.29211471522285,0.01728763820208779,0.9683753633290997,0.9855111593341145,5.6559201766503975e-11
7,2274,5175624,-52563,-26498,-26513.431545173557,448.43154517351974,463.86309034711303,-432.99999999992644,15.431545173556515,0.006783097434877905,0.9684094213097431,0.9856106220129135,3.6777692002942786e-11
7,2334,5452224,-55352,-27922,-27932.644204055487,502.6442040554362,513.2884081109733,-491.99999999989916,10.644204055486625,0.004558546052085965,0.9649755586651382,0.984329097846689,5.042011252953671e-11
7,2394,5736024,-58391,-29028,-29301.808205372028,-61.191794627987804,212.61641074405634,335.00000000003195,273.80820537202817,0.11432493913964455,0.9669225291939184,0.9853274606294835,1.5973000699887052e-11
7,2454,6027024,-61070,-30452,-30618.512053921433,0.5120539213920097,167.02410784286621,166.0000000000822,166.5120539214331,0.06782568950518116,0.9668079084699259,0.9852679080783584,4.1097791836364195e-11
7,2514,6325224,-63500,-31693,-31841.775172593305,34.77517259329096,183.55034518660977,114.00000000002785,148.7751725933049,0.05915514288420323,0.9672923853255477,0.9856980335344601,1.3926637620897964e-11
