type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,100,47,1,100,14.142135623730969,14.142135623730951,1.414213562373097
complete,100,48,4,100,20.000000000000092,28.284271247461902,2.0000000000000093
complete,100,49,1,100,14.14213562373116,14.142135623730951,1.414213562373116
complete,100,50,50,100,1.999341593746923e-13,100.0,1.999341593746923e-14
complete,100,51,1,100,14.14213562373102,14.142135623730951,1.414213562373102
complete,100,52,4,100,19.999999999999925,28.284271247461902,1.9999999999999925
complete,100,53,1,100,14.142135623730848,14.142135623730951,1.4142135623730847
complete,100,54,2,100,1.5050120423244954e-13,20.0,1.5050120423244954e-14
complete,100,55,5,100,31.622776601683825,31.622776601683793,3.1622776601683826
complete,100,56,4,100,20.000000000000025,28.284271247461902,2.0000000000000027
complete,100,57,1,100,14.142135623731024,14.142135623730951,1.4142135623731025
complete,100,58,2,100,1.7792189091175368e-13,20.0,1.779218909117537e-14
complete,100,59,1,100,14.142135623730969,14.142135623730951,1.414213562373097
complete,100,60,20,100,44.721359549995974,63.245553203367585,4.472135954999597
complete,100,61,1,100,14.142135623730983,14.142135623730951,1.4142135623730983
complete,100,62,2,100,4.726213026239794e-14,20.0,4.726213026239794e-15
complete,100,63,1,100,14.142135623730672,14.142135623730951,1.4142135623730672
complete,100,64,4,100,19.999999999999936,28.284271247461902,1.9999999999999936
complete,100,65,5,100,31.622776601683814,31.622776601683793,3.1622776601683813
complete,100,66,2,100,2.7139119681249354e-13,20.0,2.7139119681249353e-14
complete,100,67,1,100,14.142135623730551,14.142135623730951,1.4142135623730552
complete,100,68,4,100,19.99999999999956,28.284271247461902,1.999999999999956
complete,100,69,1,100,14.142135623731013,14.142135623730951,1.4142135623731014
complete,100,70,10,100,2.1004058208947403e-13,44.721359549995796,2.1004058208947403e-14
complete,100,71,1,100,14.14213562373072,14.142135623730951,1.414213562373072
complete,100,72,4,100,20.000000000000043,28.284271247461902,2.0000000000000044
